010010-99999 JAN MAYEN(NOR-NAVY)             70.933   -8.667     9.0 1931-01-01 2020-02-06
010014-99999 SORSTOKKEN                      59.792    5.341    48.8 1986-11-20 2020-02-06
010030-99999 HORNSUND                        77.000   15.500    12.0 1985-06-01 2020-02-06
010070-99999 NY-ALESUND                      78.917   11.933     7.7 1973-01-06 2020-02-06
010080-99999 LONGYEAR                        78.246   15.466    26.8 1975-09-29 2020-02-06
010100-99999 ANDOYA                          69.293   16.144    13.1 1931-01-03 2020-02-06
010150-99999 HEKKINGEN FYR                   69.600   17.833    14.0 1980-03-14 2020-02-06
010230-99999 BARDUFOSS                       69.056   18.540    76.8 1940-07-13 2020-02-06
010250-99999 TROMSO                          69.683   18.919     9.4 1973-01-01 2020-02-06
010260-99999 TROMSO                          69.650   18.933   114.5 1997-02-01 2020-02-06
010280-99999 BJORNOYA ISLAND                 74.517   19.017    18.0 1931-01-03 2020-02-06
010330-99999 TORSVAG FYR                     70.250   19.500    24.0 1973-01-01 2020-02-06
010460-99999 SORKJOSEN                       69.787   20.959     4.9 1975-09-05 2020-02-06
010470-99999 KAUTOKEINO II                   69.017   23.067   307.0 1973-01-01 2020-02-06
010490-99999 ALTA                            69.976   23.372     2.7 1973-01-01 2020-02-06
010520-99999 HAMMERFEST AP                   70.683   23.683    81.0 1940-10-08 2020-02-06
010550-99999 FRUHOLMEN FYR                   71.100   23.983    14.2 1931-01-01 2020-02-06
010590-99999 BANAK                           70.069   24.973     7.6 1973-01-01 2020-02-06
010620-99999 HOPEN ISLAND                    76.500   25.067    10.0 1955-01-01 2020-02-06
010680-99999 HONNINGSVAG/VALAN               71.017   25.983    14.0 1980-06-04 2020-02-06
010740-99999 MEHAMN                          71.033   27.833    13.0 1975-09-05 2020-02-06
010780-99999 SLETTNES FYR                    71.100   28.233    10.0 1973-01-01 2020-02-06
010830-99999 BERLEVAG                        70.867   29.033    13.0 1975-09-05 2020-02-06
010880-99999 VADSO                           70.067   29.850    39.0 1975-09-05 2020-02-06
010890-99999 HOYBUKTMOEN                     69.726   29.893    86.3 1940-11-01 2020-02-06
010980-99999 VARDO                           70.367   31.100    15.0 1931-01-03 2020-02-06
011020-99999 SKLINNA FYR                     65.200   11.000    16.0 1975-02-28 2020-02-06
011025-99999 HEIDRUN                         65.333    7.317    80.0 1999-04-24 2020-02-06
011050-99999 ROTVAER                         68.367   15.950     8.0 1973-01-01 2020-02-06
011060-99999 ROEST III                       67.517   12.100     2.0 1928-01-01 2008-12-04
011070-99999 ROST (NOR-AFB)                  67.517   12.100     4.0 1988-03-03 2020-02-06
011120-99999 BRONNOY                         65.461   12.218     7.6 1973-01-01 2020-02-06
011150-99999 MYKEN                           66.767   12.483    13.0 1973-01-01 2020-02-06
011160-99999 STOKKA                          65.950   12.467    17.1 1973-04-01 2020-02-06
011210-99999 SOLVAER III                     66.367   12.617    10.0 1973-01-01 2020-02-06
011220-99999 KJAERSTAD                       65.784   13.215    72.2 1988-10-14 2020-02-06
011410-99999 LEKNES                          68.150   13.617    26.0 1973-06-20 2020-02-06
011510-99999 MOIRANA                         66.367   14.300    70.0 1973-04-01 2020-02-06
011520-99999 BODO                            67.269   14.365    12.8 1940-09-17 2020-02-06
011600-99999 SKROVA FYR                      68.150   14.650    11.0 1973-01-01 2020-02-06
011610-99999 SVOLVAER/HELLE                  68.250   14.667     9.0 1973-06-20 2020-02-06
011620-99999 STORKMARKNES/SKAGEN             68.583   15.017     3.0 1973-06-20 2020-02-06
011670-99999 SORTLAND                        68.700   15.417     3.0 1985-02-01 2019-12-22
011830-99999 EVENES                          68.491   16.678    25.6 1975-09-05 2020-02-06
011940-99999 NARVIK III                      68.467   17.500    23.0 1973-01-01 2004-12-31
012050-99999 SVINOY LH                       62.333    5.267    37.2 1973-01-01 2020-01-12
012090-99999 ORSTA-VOLDA/HOVDEN              62.183    6.067    74.0 1984-12-11 2020-02-06
